Currency,Rate
ABC,59.99
ACP,0.014931
ACT,0.00169
ACT*,0.017178
ADA,0.736495
ADCN,0.00013
ADL,0.01515
ADX,0.138439
ADZ,0.0023
AE,0.0237
AGI,0.251
AIB,0.005626
AIDOC,0.004301
AION,0.001405
AIR,0.0058
ALT,0.602
AMB,0.003751
AMM,0.0033
ANT,1.5
APC,0.0017
APPC,0.000885
ARC,0.0169
ARCT,0.00061
ARDR,0.067866
ARK,0.401036
ARN,0.000849
ASAFE2,0.4
AST,0.0733
ATB,0.017
ATM,1.8056
AURS,0.352867
AVAX,26.6299
AVT,0.77
BAR,2.635
BASH,0.0056
BAT,0.174558
BAY,0.0644
BBP,0.0005
BCD,0.051642
BCH,328.156365
BCN,3.3984023227424255e-05
BCPT,0.000926
BEE,1e-06
BIO,0.0008
BLC,0.072132
BLOCK,0.18
BLU,0.00054
BLZ,0.047107
BMC,0.00283
BNB,582.455665
BNT,0.418729
BOST,0.048
BQ,7.775e-05
BQX,2.720931
BRD,2.707791
BRIT,0.03
BT1,0
BT2,0
BTC,98502.336871
BTCA,0.00036
BTCS,0.01201
BTCZ,9.83773683930445e-05
BTG,5.445021
BTLC,9
BTM,0.078282
BTM*,0.122609
BTQ,0.01
BTS,0.001122
BTX,0.046157
BURST,0.017348
CALC,0.0006
CAS,0.007
CAT,1.027475363142283e-05
CCRB,0.08888
CDT,0.135132
CESC,0.0037
CHAT,0.373466
CJ,0.000898
CL,0.028
CLD,0.02
CLOAK,10
CMT*,0.03954
CND,0.000319
CNX,1.996594
CPC,0.0005
CRAVE,0.4
CRC,0.08475
CRE,1.316485
CRW,0.02202
CTO,0.005
CTR,0.000575
CVC,0.112587
DAS,0.937816
DASH,25.081304
DAT,0.0013
DATA,0
DBC,0.002229
DBET,0.027656
DCN,1.42e-06
DCR,10.569425
DCT,0.099361
DEEP,0.001
DENT,0.00082
DGB,0.008624
DGD,1082.215469
DIM,9.4957e-05
DIME,3e-05
DMD,0.58782
DNT,0.059
DOGE,0.25615
DRGN,0.059264
DRZ,3
DSH,252.13175
DTA,3.25076959912471e-06
EC,50
EDG,0.00305
EDO,0.61442
EDR,0.00023
EKO,5.501302398518741e-07
ELA,1.794
ELF,0.244546
EMC,0.020305
EMGO,0.43382
ENG,0.000984
ENJ,0.279361
EOS,0.595289
ERT,0.2054
ETC,20.615
ETH,2764.963517
ETN,0.002383
ETP,0.005241
ETT,2.9
EVR,0.104931
EVX,0.002492
FCT,0.03869
FLP,0.015
FOTA,8.001894397845441e-05
FRST,0.78001
FUEL,0.017345
FUN,0.002941
FUNC,0.00061
FUTC,0.004
GAME,0.004715
GAS,3.930263
GBYTE,30.496984
GMX,54.5
GNO,176.23495
GNT,1.00023679973068e-08
GNX,0.000321
GRC,0.0067
GRS,10
GRWI,10000
GTC,0.446449
GTO,0.11924
GUP,0.031482
GVT,12.141172
GXS,1.067152
HAC,0.049189
HNC,0
HSR,10.831507
HST,0.0027
HVN,0.03529
ICN,0.145234
ICOS,17
ICX,0.129402
IGNIS,0.0008
ILC,0.098703
INK,0.000691
INS,2.430005
INSN,0.0473
INT,0.000316
IOP,15.455555
IOST,0.004764
ITC,0.021415
KCS,5.33
KICK,0.000324
KIN,7.7e-06
KLC,0.000703
KMD,0.188989
KNC,0.400949
KRB,6
LA,0.021053
LEND,4.605204
LEO,9.585647
LINDA,0.000271
LINK,18.961952
LOC,0.12
LOG,0.060174
LRC,0.1305
LSK,0.701508
LTC,105.963694
LUN,0.020659
LUX,2.09e-06
MAID,0.298361
MANA,0.310415
MCAP,0.005398
MCO,0.8452
MDA,0.020005
MDS,8.235949808982419e-05
MIOTA,0.110403
MKR,1033.386
MLN,15.457
MNX,0.028649
MOD,0.251854
MOIN,0.033073
MONA,0.265462
MTL,0.908247
MTN*,0.009575
MTX,0.0007
NAS,0.004098
NAV,0.04359
NBT,0.001507
NDC,0.008989
NEBL,0.005926
NEO,10.629008
NEU,0.024194
NEWB,0.002604
NGC,0.027451
NKC,0.038763
NLC2,0.599935
NMC,5.867998
NMR,9.473034
NULS,0.235756
NVC,10
NXT,0.000954
OAX,0.014204
OBITS,0.015
OC,0.000407
OCN,2.203521669806688e-05
ODN,0.5
OK,0.011333
OMG,0.25373
OMNI,1.1
ORE,0
ORME,1.235715
OST,0.000153
OTN,0
OTX,0.023
OXY,0.0146
PART,3.951477
PAY,0.007002
PBT,38.008334
PCS,0.019961
PIVX,0.186752
PIZZA,0.001
PLBT,20
PLR,0.00311
POE,2.64841681022289e-06
POLY,0.1246
POSW,0.48712
POWR,0.212124
PPC,0.37
PPT,0.041321
PPY,5.45
PRC,3e-05
PRES,0.219998
PRG,1.495507
PRL,1.023728
PRO,0.9875
PURA,0.25
PUT,0
QASH,0.012523
QAU,0
QSP,0.001105
QTUM,3.482461
QUN,0.008318
R,0.01052
RBIES,1
RCN,0.000664
RDD,8.301965437764644e-05
RDN,0
RDN*,0.324446
REBL,0.000785
REE,1e-05
REP,0.77
REQ,0.119701
REV,1.78e-05
RGC,0.001
RHOC,0.178417
RIYA,0.090025
RKC,5
RLC,1.229202
RPX,0.061017
RUFF,0.000164
SALT,0.768708
SAN,0.033323
SBC,7
SC,0.005054
SENT,0.001
SHIFT,0
SIB,5.177
SMART,2.6e-05
SMLY,6e-05
SMT*,0.011226
SNC,0.031358
SNGLS,6.886825710743447e-05
SNM,0.001233
SNT,0.030729
SOL,193.8649
SPK,0.0084
SRN,8.854490199527289e-05
STEEM,0.170264
STK,0.1033
STORJ,0.328
STRAT,0.63864
STU,0.00019
STX,1.675475
SUB,0.000135
SUR,0.01
SWFTC,0.015364
SYS,0.066309
TAAS,10
TESLA,0.019139
THC,0.000984
THETA,1.361878
THS,0.00171
TIO,0.085
TKN,0
TKY,0.000999
TNB,2.5005919993267e-05
TNT,0.009158
TOA,0.002397
TRC,6.2
TRIG,6.186747
TRST,0.04799
TRUMP,26.6
TRX,0.231091
UBQ,0.009838
UNO,13.4
UNRC,6e-05
UQC,8
USDT,1.004337
UTK,0.0508
UTT,0.00688
VEE,0.005362
VEN,15.083565
VERI,23.736235
VIA,0.013773
VIB,0.06139
VIBE,0.000531
VOISE,0.00018
VOX,0.200047
VRS,0.1375
VTC,0.047158
VUC,9.9e-05
WABI,0.0017
WAVES,1.249024
WAX,0.0492
WC,0.045
